symbol,side,entry_time,entry,exit_time,exit,exit_reason,gross_bps,net_bps
SPY,long,2026-06-09 10:55:00-04:00,736.5999755859375,2026-06-09 11:25:00-04:00,734.0184441956168,stop,-35.0465853364601,-39.0465853364601
SPY,long,2026-06-10 11:55:00-04:00,730.780029296875,2026-06-10 14:50:00-04:00,727.7101247332344,stop,-42.00859958631287,-46.00859958631287
SPY,long,2026-06-11 11:05:00-04:00,725.9600219726562,2026-06-11 11:15:00-04:00,728.1937811476596,target,30.769727084054566,26.769727084054566
SPY,long,2026-06-29 10:20:00-04:00,733.719970703125,2026-06-29 10:30:00-04:00,736.4580513403498,target,37.31778807384734,33.31778807384734
SPY,short,2026-05-15 14:20:00-04:00,741.739990234375,2026-05-15 14:30:00-04:00,741.0069967415733,target,9.882081355355732,5.882081355355732
SPY,short,2026-06-11 14:05:00-04:00,733.2899780273438,2026-06-11 14:50:00-04:00,736.0916962565943,stop,-38.20750744183865,-42.20750744183865
QQQ,long,2026-04-24 10:10:00-04:00,658.9400024414062,2026-04-24 10:10:00-04:00,658.9400024414062,target,0.0,-4.0
QQQ,long,2026-05-06 10:10:00-04:00,689.8800048828125,2026-05-06 10:10:00-04:00,689.8800048828125,target,0.0,-4.0
QQQ,long,2026-05-07 12:25:00-04:00,695.594970703125,2026-05-07 13:15:00-04:00,694.0638314724021,stop,-22.011936474687353,-26.011936474687353
QQQ,long,2026-05-07 14:00:00-04:00,695.2999877929688,2026-05-07 14:40:00-04:00,693.447431251768,stop,-26.64398926686573,-30.64398926686573
QQQ,long,2026-05-18 10:40:00-04:00,704.780029296875,2026-05-18 12:25:00-04:00,701.9191797312368,stop,-40.592091811857415,-44.592091811857415
QQQ,long,2026-05-19 10:25:00-04:00,696.9299926757812,2026-05-19 11:15:00-04:00,699.502585215427,target,36.91321318757712,32.91321318757712
QQQ,long,2026-05-29 10:50:00-04:00,736.02001953125,2026-05-29 11:10:00-04:00,738.4081952053042,target,32.44715647239049,28.44715647239049
QQQ,long,2026-06-05 12:50:00-04:00,715.6599731445312,2026-06-05 14:10:00-04:00,713.5680967679809,stop,-29.230031789522215,-33.230031789522215
QQQ,long,2026-06-09 10:25:00-04:00,717.3800048828125,2026-06-09 10:40:00-04:00,714.1757246791409,stop,-44.666427581780965,-48.666427581780965
QQQ,long,2026-06-09 10:55:00-04:00,710.0399780273438,2026-06-09 11:20:00-04:00,706.1973139107517,stop,-54.1189825292343,-58.1189825292343
QQQ,long,2026-06-10 11:55:00-04:00,699.8900146484375,2026-06-10 14:50:00-04:00,695.1233456860568,stop,-68.10597183294576,-72.10597183294576
QQQ,long,2026-06-29 10:20:00-04:00,707.7999877929688,2026-06-29 10:30:00-04:00,712.7976038214175,target,70.60774391974833,66.60774391974833
QQQ,short,2026-04-24 10:15:00-04:00,659.0499877929688,2026-04-24 10:20:00-04:00,658.6466500455766,target,6.119987176432806,2.119987176432806
QQQ,short,2026-05-06 10:05:00-04:00,688.3800048828125,2026-05-06 10:05:00-04:00,688.3800048828125,target,-0.0,-4.0
QQQ,short,2026-05-06 12:20:00-04:00,692.0999755859375,2026-05-06 14:05:00-04:00,693.200623850635,stop,-15.903024180368153,-19.903024180368153
QQQ,short,2026-06-11 13:50:00-04:00,710.02001953125,2026-06-11 15:10:00-04:00,713.9573595470639,stop,-55.453929572482075,-59.453929572482075
