period,signal,level,lookahead,n_signals,n_events,tp,precision,recall,f1,lead_med,random_precision
in-sample,g8_layer_a_bearish,L1,1,598,136,76,0.12709030100334448,0.5588235294117647,0.20708446866485014,1.0,0.06752730883813307
in-sample,g8_layer_a_bearish,L1,3,598,136,180,0.3010033444816054,0.6176470588235294,0.40475425634436235,2.0,0.18921003450135798
in-sample,g8_layer_a_bearish,L1,5,598,136,247,0.41304347826086957,0.6838235294117647,0.5150102011075488,3.0,0.29501381178875163
in-sample,g8_layer_a_bearish,L2,1,598,32,21,0.03511705685618729,0.65625,0.06666666666666667,1.0,0.01588877855014892
in-sample,g8_layer_a_bearish,L2,3,598,32,48,0.0802675585284281,0.6875,0.1437517016063164,2.0,0.04691298697332058
in-sample,g8_layer_a_bearish,L2,5,598,32,64,0.10702341137123746,0.71875,0.18630553094544994,3.0,0.07695915400512754
in-sample,g8_layer_a_bearish,L3,1,598,5,4,0.006688963210702341,0.8,0.013266998341625208,2.0,0.0024826216484608032
in-sample,g8_layer_a_bearish,L3,3,598,5,10,0.016722408026755852,0.8,0.03276003276003276,3.0,0.007429390016049919
in-sample,g8_layer_a_bearish,L3,5,598,5,12,0.020066889632107024,0.8,0.03915171288743883,3.0,0.012351626964123286
in-sample,g9_crisis_composite_red,L1,1,0,136,0,0.0,0.0,0.0,,0.06752730883813307
in-sample,g9_crisis_composite_red,L1,3,0,136,0,0.0,0.0,0.0,,0.18921003450135798
in-sample,g9_crisis_composite_red,L1,5,0,136,0,0.0,0.0,0.0,,0.29501381178875163
in-sample,g9_crisis_composite_red,L2,1,0,32,0,0.0,0.0,0.0,,0.01588877855014892
in-sample,g9_crisis_composite_red,L2,3,0,32,0,0.0,0.0,0.0,,0.04691298697332058
in-sample,g9_crisis_composite_red,L2,5,0,32,0,0.0,0.0,0.0,,0.07695915400512754
in-sample,g9_crisis_composite_red,L3,1,0,5,0,0.0,0.0,0.0,,0.0024826216484608032
in-sample,g9_crisis_composite_red,L3,3,0,5,0,0.0,0.0,0.0,,0.007429390016049919
in-sample,g9_crisis_composite_red,L3,5,0,5,0,0.0,0.0,0.0,,0.012351626964123286
in-sample,g10_volume_surge,L1,1,112,136,23,0.20535714285714285,0.16911764705882354,0.18548387096774194,1.0,0.06752730883813307
in-sample,g10_volume_surge,L1,3,112,136,44,0.39285714285714285,0.29411764705882354,0.3363914373088685,2.5,0.18921003450135798
in-sample,g10_volume_surge,L1,5,112,136,57,0.5089285714285714,0.3897058823529412,0.4414085330216248,3.0,0.29501381178875163
in-sample,g10_volume_surge,L2,1,112,32,8,0.07142857142857142,0.25,0.11111111111111112,2.0,0.01588877855014892
in-sample,g10_volume_surge,L2,3,112,32,20,0.17857142857142858,0.53125,0.2672955974842767,3.0,0.04691298697332058
in-sample,g10_volume_surge,L2,5,112,32,23,0.20535714285714285,0.5625,0.3008720930232558,3.0,0.07695915400512754
in-sample,g10_volume_surge,L3,1,112,5,1,0.008928571428571428,0.2,0.017094017094017092,3.0,0.0024826216484608032
in-sample,g10_volume_surge,L3,3,112,5,4,0.03571428571428571,0.6,0.06741573033707865,3.0,0.007429390016049919
in-sample,g10_volume_surge,L3,5,112,5,6,0.05357142857142857,0.8,0.100418410041841,3.5,0.012351626964123286
in-sample,g11_safe_haven,L1,1,349,136,29,0.0830945558739255,0.21323529411764705,0.1195876288659794,1.0,0.06752730883813307
